src_lemma,tgt_lemma,src_median_hf_days,tgt_median_hf_days,src_log_days,tgt_log_days,log_gap,abs_log_gap
manner,modo,221191.08796,0.041416019,12.306786779274507,0.04058134380619469,12.266205435468311,12.266205435468311
division,parte,143480.43981,1.750300926,11.873960966513629,1.0117103333280766,10.862250633185552,10.862250633185552
team,equipe,89735.12731,0.946261574,11.404628724041178,0.665910390969198,10.73871833307198,10.73871833307198
sense,sentido,27984.53704,0.064059468,10.239443121421836,0.06209128033505376,10.177351841086782,10.177351841086782
way,modo,26199.65278,0.041416019,10.173539604705983,0.04058134380619469,10.132958260899787,10.132958260899787
member,membro,20814.02778,0.019701887,9.943430494242646,0.019510316930608434,9.923920177312038,9.923920177312038
fashion,modo,19013.66898,0.041416019,9.852966011849013,0.04058134380619469,9.812384668042817,9.812384668042817
lack,falta,18727.75463,0.147352315,9.837815302570831,0.13745695314475675,9.700358349426075,9.700358349426075
blame,culpa,15458.90046,0.147158912,9.646004883569585,0.13728837432223262,9.508716509247353,9.508716509247353
climate,clima,13220.96065,0.065728368,9.489634411788657,0.06365847901407158,9.425975932774586,9.425975932774586
weather,clima,11921.85185,0.065728368,9.386212161164899,0.06365847901407158,9.322553682150827,9.322553682150827
relation,relação,20514.03935,1.02675706,9.928913522983148,0.7064370082890117,9.222476514694137,9.222476514694137
design,desenho,10244.34722,0.020064977,9.234578951753157,0.019866328208409997,9.214712623544747,9.214712623544747
part,parte,27249.07407,1.750300926,10.212811518252833,1.0117103333280766,9.201101184924756,9.201101184924756
scene,cena,20732.32639,1.460939815,9.939497655171644,0.9005433156039861,9.038954339567658,9.038954339567658
collection,coleção,229549.88426,29.441238426,12.343880001815451,3.4157982163314786,8.928081785483972,8.928081785483972
role,função,340192.59259,44.522858796,12.73727012452197,3.8182145909216163,8.919055533600353,8.919055533600353
piece,parte,14398.125,1.750300926,9.574922719829003,1.0117103333280766,8.563212386500926,8.563212386500926
old,antigo,23697.30324,3.612659722,10.07315873131136,1.5288046368429884,8.544354094468371,8.544354094468371
reduce,reduzir,41391.89815,7.139700231,10.630864602827817,2.096753352677854,8.534111250149962,8.534111250149962
sea,mar,8068.66435,0.720150463,8.995867168081785,0.5424117654877139,8.453455402594072,8.453455402594072
alive,vivo,5246.15625,0.145405556,8.565441542164617,0.13575877167303174,8.429682770491585,8.429682770491585
quality,qualidade,27.67637,122902.546296296,3.356073438683226,11.719155150274489,-8.363081711591263,8.363081711591263
influence,influência,25.51039,104793.958333333,3.2775367316223716,11.55976094220551,-8.28222421058314,8.28222421058314
identity,identidade,26.23238,94510.543981481,3.304406706465168,11.456477264555279,-8.152070558090111,8.152070558090111
